Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Type_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Condition,Condition_Exp,Participant,FofA,FofA_Std,Token_Main_Lemma_Std,Token_Sub_Std,Token_Pret_Std,LOR_Std,DELE_Std
HSP07,21,Female,Heritage,Sequential,39,0,7,7,27,0,39,11,12,B,20,48,1,valorar,113028,NA,NA,1,Canonical,viajar,78141,Mood,Subjunctive,D,[–F/–F],07,23,-0.6686584044108851,-0.831834201259241,-0.7467312120510448,NA,2.9838874536621947,0.09183966396551842
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,20,3,1,valorar,113028,NA,NA,1,Canonical,viajar,78141,Mood,Subjunctive,D,[–F/–F],08,24,-0.5343195422307185,-0.831834201259241,-0.7467312120510448,NA,1.9897871787647372,0.4571345071542121
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,10,5,1,pedir,432187,NA,NA,0,Canonical,tratar,590952,Mood,Subjunctive,B,[+F/–F],08,24,-0.5343195422307185,-0.18053725098113216,0.7218493994020267,NA,1.9897871787647372,0.4571345071542121
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,15,8,1,desear,148807,NA,NA,1,Canonical,robar,28182,Mood,Subjunctive,C,[–F/+F],08,24,-0.5343195422307185,-0.7588212090390609,-0.8898030626306618,NA,1.9897871787647372,0.4571345071542121
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,5,10,1,esperar,1409514,NA,NA,1,Canonical,enviar,766523,Mood,Subjunctive,A,[+F/+F],08,24,-0.5343195422307185,1.8138608218429253,1.2246470510386476,NA,1.9897871787647372,0.4571345071542121
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,19,13,1,ordenar,65158,NA,NA,1,Canonical,prestar,73724,Mood,Subjunctive,D,[–F/–F],08,24,-0.5343195422307185,-0.9295208872364908,-0.7593805517898339,NA,1.9897871787647372,0.4571345071542121
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,9,15,1,necesitar,593469,NA,NA,1,Canonical,enviar,766523,Mood,Subjunctive,B,[+F/–F],08,24,-0.5343195422307185,0.1485854581850012,1.2246470510386476,NA,1.9897871787647372,0.4571345071542121
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,14,18,1,conseguir,129144,NA,NA,0,Canonical,viajar,78141,Mood,Subjunctive,C,[–F/+F],08,24,-0.5343195422307185,-0.7989468264689892,-0.7467312120510448,NA,1.9897871787647372,0.4571345071542121
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,4,20,1,querer,1263949,NA,NA,0,Canonical,quedar,947469,Mood,Subjunctive,A,[+F/+F],08,24,-0.5343195422307185,1.5168112616950589,1.7428375487463559,NA,1.9897871787647372,0.4571345071542121
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,18,23,1,sugerir,88224,NA,NA,0,Canonical,atar,15876,Mood,Subjunctive,D,[–F/–F],08,24,-0.5343195422307185,-0.8824508830845953,-0.9250448047238335,NA,1.9897871787647372,0.4571345071542121
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,8,25,1,permitir,935997,NA,NA,0,Canonical,quedar,947469,Mood,Subjunctive,B,[+F/–F],08,24,-0.5343195422307185,0.8475707344418515,1.7428375487463559,NA,1.9897871787647372,0.4571345071542121
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,13,28,1,valorar,113028,NA,NA,1,Canonical,bailar,29935,Mood,Subjunctive,C,[–F/+F],08,24,-0.5343195422307185,-0.831834201259241,-0.8847828469725008,NA,1.9897871787647372,0.4571345071542121
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,3,30,1,necesitar,593469,NA,NA,1,Canonical,tratar,590952,Mood,Subjunctive,A,[+F/+F],08,24,-0.5343195422307185,0.1485854581850012,0.7218493994020267,NA,1.9897871787647372,0.4571345071542121
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,17,33,1,conseguir,129144,NA,NA,0,Canonical,robar,28182,Mood,Subjunctive,D,[–F/–F],08,24,-0.5343195422307185,-0.7989468264689892,-0.8898030626306618,NA,1.9897871787647372,0.4571345071542121
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,7,35,1,esperar,1409514,NA,NA,1,Canonical,atar,15876,Mood,Subjunctive,B,[+F/–F],08,24,-0.5343195422307185,1.8138608218429253,-0.9250448047238335,NA,1.9897871787647372,0.4571345071542121
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,12,38,1,ordenar,65158,NA,NA,1,Canonical,atar,15876,Mood,Subjunctive,C,[–F/+F],08,24,-0.5343195422307185,-0.9295208872364908,-0.9250448047238335,NA,1.9897871787647372,0.4571345071542121
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,2,40,1,pedir,432187,NA,NA,0,Canonical,dejar,696519,Mood,Subjunctive,A,[+F/+F],08,24,-0.5343195422307185,-0.18053725098113216,1.0241706238088089,NA,1.9897871787647372,0.4571345071542121
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,16,43,1,desear,148807,NA,NA,1,Canonical,bailar,29935,Mood,Subjunctive,D,[–F/–F],08,24,-0.5343195422307185,-0.7588212090390609,-0.8847828469725008,NA,1.9897871787647372,0.4571345071542121
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,6,45,1,querer,1263949,NA,NA,0,Canonical,dejar,696519,Mood,Subjunctive,B,[+F/–F],08,24,-0.5343195422307185,1.5168112616950589,1.0241706238088089,NA,1.9897871787647372,0.4571345071542121
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,11,48,1,sugerir,88224,NA,NA,0,Canonical,prestar,73724,Mood,Subjunctive,C,[–F/+F],08,24,-0.5343195422307185,-0.8824508830845953,-0.7593805517898339,NA,1.9897871787647372,0.4571345071542121
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,1,50,1,permitir,935997,NA,NA,0,Canonical,tomar,506707,Mood,Subjunctive,A,[+F/+F],08,24,-0.5343195422307185,0.8475707344418515,0.4805898054934249,NA,1.9897871787647372,0.4571345071542121
HSP10,28,Female,Heritage,Sequential,31,0,4,0,30,1,43,16,16,A,20,3,1,valorar,113028,NA,NA,1,Canonical,viajar,78141,Mood,Subjunctive,D,[–F/–F],10,32,0.5403913552106134,-0.831834201259241,-0.7467312120510448,NA,-0.4954635084789066,0.8224293503429058
HSP10,28,Female,Heritage,Sequential,31,0,4,0,30,1,43,16,16,A,10,5,1,pedir,432187,NA,NA,0,Canonical,tratar,590952,Mood,Subjunctive,B,[+F/–F],10,32,0.5403913552106134,-0.18053725098113216,0.7218493994020267,NA,-0.4954635084789066,0.8224293503429058
HSP10,28,Female,Heritage,Sequential,31,0,4,0,30,1,43,16,16,A,15,8,1,desear,148807,NA,NA,1,Canonical,robar,28182,Mood,Subjunctive,C,[–F/+F],10,32,0.5403913552106134,-0.7588212090390609,-0.8898030626306618,NA,-0.4954635084789066,0.8224293503429058
HSP10,28,Female,Heritage,Sequential,31,0,4,0,30,1,43,16,16,A,5,10,1,esperar,1409514,NA,NA,1,Canonical,enviar,766523,Mood,Subjunctive,A,[+F/+F],10,32,0.5403913552106134,1.8138608218429253,1.2246470510386476,NA,-0.4954635084789066,0.8224293503429058
HSP10,28,Female,Heritage,Sequential,31,0,4,0,30,1,43,16,16,A,19,13,1,ordenar,65158,NA,NA,1,Canonical,prestar,73724,Mood,Subjunctive,D,[–F/–F],10,32,0.5403913552106134,-0.9295208872364908,-0.7593805517898339,NA,-0.4954635084789066,0.8224293503429058
HSP10,28,Female,Heritage,Sequential,31,0,4,0,30,1,43,16,16,A,9,15,1,necesitar,593469,NA,NA,1,Canonical,enviar,766523,Mood,Subjunctive,B,[+F/–F],10,32,0.5403913552106134,0.1485854581850012,1.2246470510386476,NA,-0.4954635084789066,0.8224293503429058
HSP10,28,Female,Heritage,Sequential,31,0,4,0,30,1,43,16,16,A,14,18,0,conseguir,129144,NA,NA,0,Canonical,viajar,78141,Mood,Subjunctive,C,[–F/+F],10,32,0.5403913552106134,-0.7989468264689892,-0.7467312120510448,NA,-0.4954635084789066,0.8224293503429058
HSP10,28,Female,Heritage,Sequential,31,0,4,0,30,1,43,16,16,A,4,20,1,querer,1263949,NA,NA,0,Canonical,quedar,947469,Mood,Subjunctive,A,[+F/+F],10,32,0.5403913552106134,1.5168112616950589,1.7428375487463559,NA,-0.4954635084789066,0.8224293503429058
HSP10,28,Female,Heritage,Sequential,31,0,4,0,30,1,43,16,16,A,18,23,0,sugerir,88224,NA,NA,0,Canonical,atar,15876,Mood,Subjunctive,D,[–F/–F],10,32,0.5403913552106134,-0.8824508830845953,-0.9250448047238335,NA,-0.4954635084789066,0.8224293503429058
HSP10,28,Female,Heritage,Sequential,31,0,4,0,30,1,43,16,16,A,8,25,1,permitir,935997,NA,NA,0,Canonical,quedar,947469,Mood,Subjunctive,B,[+F/–F],10,32,0.5403913552106134,0.8475707344418515,1.7428375487463559,NA,-0.4954635084789066,0.8224293503429058
HSP10,28,Female,Heritage,Sequential,31,0,4,0,30,1,43,16,16,A,13,28,1,valorar,113028,NA,NA,1,Canonical,bailar,29935,Mood,Subjunctive,C,[–F/+F],10,32,0.5403913552106134,-0.831834201259241,-0.8847828469725008,NA,-0.4954635084789066,0.8224293503429058
HSP10,28,Female,Heritage,Sequential,31,0,4,0,30,1,43,16,16,A,3,30,1,necesitar,593469,NA,NA,1,Canonical,tratar,590952,Mood,Subjunctive,A,[+F/+F],10,32,0.5403913552106134,0.1485854581850012,0.7218493994020267,NA,-0.4954635084789066,0.8224293503429058
HSP10,28,Female,Heritage,Sequential,31,0,4,0,30,1,43,16,16,A,17,33,1,conseguir,129144,NA,NA,0,Canonical,robar,28182,Mood,Subjunctive,D,[–F/–F],10,32,0.5403913552106134,-0.7989468264689892,-0.8898030626306618,NA,-0.4954635084789066,0.8224293503429058
HSP10,28,Female,Heritage,Sequential,31,0,4,0,30,1,43,16,16,A,7,35,1,esperar,1409514,NA,NA,1,Canonical,atar,15876,Mood,Subjunctive,B,[+F/–F],10,32,0.5403913552106134,1.8138608218429253,-0.9250448047238335,NA,-0.4954635084789066,0.8224293503429058
HSP10,28,Female,Heritage,Sequential,31,0,4,0,30,1,43,16,16,A,12,38,0,ordenar,65158,NA,NA,1,Canonical,atar,15876,Mood,Subjunctive,C,[–F/+F],10,32,0.5403913552106134,-0.9295208872364908,-0.9250448047238335,NA,-0.4954635084789066,0.8224293503429058
HSP10,28,Female,Heritage,Sequential,31,0,4,0,30,1,43,16,16,A,2,40,1,pedir,432187,NA,NA,0,Canonical,dejar,696519,Mood,Subjunctive,A,[+F/+F],10,32,0.5403913552106134,-0.18053725098113216,1.0241706238088089,NA,-0.4954635084789066,0.8224293503429058
HSP10,28,Female,Heritage,Sequential,31,0,4,0,30,1,43,16,16,A,16,43,1,desear,148807,NA,NA,1,Canonical,bailar,29935,Mood,Subjunctive,D,[–F/–F],10,32,0.5403913552106134,-0.7588212090390609,-0.8847828469725008,NA,-0.4954635084789066,0.8224293503429058
HSP10,28,Female,Heritage,Sequential,31,0,4,0,30,1,43,16,16,A,6,45,1,querer,1263949,NA,NA,0,Canonical,dejar,696519,Mood,Subjunctive,B,[+F/–F],10,32,0.5403913552106134,1.5168112616950589,1.0241706238088089,NA,-0.4954635084789066,0.8224293503429058
HSP10,28,Female,Heritage,Sequential,31,0,4,0,30,1,43,16,16,A,11,48,1,sugerir,88224,NA,NA,0,Canonical,prestar,73724,Mood,Subjunctive,C,[–F/+F],10,32,0.5403913552106134,-0.8824508830845953,-0.7593805517898339,NA,-0.4954635084789066,0.8224293503429058
HSP10,28,Female,Heritage,Sequential,31,0,4,0,30,1,43,16,16,A,1,50,1,permitir,935997,NA,NA,0,Canonical,tomar,506707,Mood,Subjunctive,A,[+F/+F],10,32,0.5403913552106134,0.8475707344418515,0.4805898054934249,NA,-0.4954635084789066,0.8224293503429058
HSP11,26,Female,Heritage,Simultaneous,20,0,3,0,35,5,34,13,13,B,1,1,1,permitir,935997,NA,NA,0,Canonical,tomar,506707,Mood,Subjunctive,A,[+F/+F],11,26,-0.2656418178703856,0.8475707344418515,0.4805898054934249,NA,-0.4954635084789066,-0.8213974440062158
HSP11,26,Female,Heritage,Simultaneous,20,0,3,0,35,5,34,13,13,B,11,3,0,sugerir,88224,NA,NA,0,Canonical,prestar,73724,Mood,Subjunctive,C,[–F/+F],11,26,-0.2656418178703856,-0.8824508830845953,-0.7593805517898339,NA,-0.4954635084789066,-0.8213974440062158
HSP11,26,Female,Heritage,Simultaneous,20,0,3,0,35,5,34,13,13,B,6,6,1,querer,1263949,NA,NA,0,Canonical,dejar,696519,Mood,Subjunctive,B,[+F/–F],11,26,-0.2656418178703856,1.5168112616950589,1.0241706238088089,NA,-0.4954635084789066,-0.8213974440062158
HSP11,26,Female,Heritage,Simultaneous,20,0,3,0,35,5,34,13,13,B,16,8,0,desear,148807,NA,NA,1,Canonical,bailar,29935,Mood,Subjunctive,D,[–F/–F],11,26,-0.2656418178703856,-0.7588212090390609,-0.8847828469725008,NA,-0.4954635084789066,-0.8213974440062158
HSP11,26,Female,Heritage,Simultaneous,20,0,3,0,35,5,34,13,13,B,2,11,1,pedir,432187,NA,NA,0,Canonical,dejar,696519,Mood,Subjunctive,A,[+F/+F],11,26,-0.2656418178703856,-0.18053725098113216,1.0241706238088089,NA,-0.4954635084789066,-0.8213974440062158
HSP11,26,Female,Heritage,Simultaneous,20,0,3,0,35,5,34,13,13,B,12,13,0,ordenar,65158,NA,NA,1,Canonical,atar,15876,Mood,Subjunctive,C,[–F/+F],11,26,-0.2656418178703856,-0.9295208872364908,-0.9250448047238335,NA,-0.4954635084789066,-0.8213974440062158
HSP11,26,Female,Heritage,Simultaneous,20,0,3,0,35,5,34,13,13,B,7,16,1,esperar,1409514,NA,NA,1,Canonical,atar,15876,Mood,Subjunctive,B,[+F/–F],11,26,-0.2656418178703856,1.8138608218429253,-0.9250448047238335,NA,-0.4954635084789066,-0.8213974440062158
HSP11,26,Female,Heritage,Simultaneous,20,0,3,0,35,5,34,13,13,B,17,18,1,conseguir,129144,NA,NA,0,Canonical,robar,28182,Mood,Subjunctive,D,[–F/–F],11,26,-0.2656418178703856,-0.7989468264689892,-0.8898030626306618,NA,-0.4954635084789066,-0.8213974440062158
HSP11,26,Female,Heritage,Simultaneous,20,0,3,0,35,5,34,13,13,B,3,21,0,necesitar,593469,NA,NA,1,Canonical,tratar,590952,Mood,Subjunctive,A,[+F/+F],11,26,-0.2656418178703856,0.1485854581850012,0.7218493994020267,NA,-0.4954635084789066,-0.8213974440062158
HSP11,26,Female,Heritage,Simultaneous,20,0,3,0,35,5,34,13,13,B,13,23,1,valorar,113028,NA,NA,1,Canonical,bailar,29935,Mood,Subjunctive,C,[–F/+F],11,26,-0.2656418178703856,-0.831834201259241,-0.8847828469725008,NA,-0.4954635084789066,-0.8213974440062158
HSP11,26,Female,Heritage,Simultaneous,20,0,3,0,35,5,34,13,13,B,8,26,0,permitir,935997,NA,NA,0,Canonical,quedar,947469,Mood,Subjunctive,B,[+F/–F],11,26,-0.2656418178703856,0.8475707344418515,1.7428375487463559,NA,-0.4954635084789066,-0.8213974440062158
HSP11,26,Female,Heritage,Simultaneous,20,0,3,0,35,5,34,13,13,B,18,28,0,sugerir,88224,NA,NA,0,Canonical,atar,15876,Mood,Subjunctive,D,[–F/–F],11,26,-0.2656418178703856,-0.8824508830845953,-0.9250448047238335,NA,-0.4954635084789066,-0.8213974440062158
HSP11,26,Female,Heritage,Simultaneous,20,0,3,0,35,5,34,13,13,B,4,31,0,querer,1263949,NA,NA,0,Canonical,quedar,947469,Mood,Subjunctive,A,[+F/+F],11,26,-0.2656418178703856,1.5168112616950589,1.7428375487463559,NA,-0.4954635084789066,-0.8213974440062158
HSP11,26,Female,Heritage,Simultaneous,20,0,3,0,35,5,34,13,13,B,14,33,1,conseguir,129144,NA,NA,0,Canonical,viajar,78141,Mood,Subjunctive,C,[–F/+F],11,26,-0.2656418178703856,-0.7989468264689892,-0.7467312120510448,NA,-0.4954635084789066,-0.8213974440062158
HSP11,26,Female,Heritage,Simultaneous,20,0,3,0,35,5,34,13,13,B,9,36,1,necesitar,593469,NA,NA,1,Canonical,enviar,766523,Mood,Subjunctive,B,[+F/–F],11,26,-0.2656418178703856,0.1485854581850012,1.2246470510386476,NA,-0.4954635084789066,-0.8213974440062158
HSP11,26,Female,Heritage,Simultaneous,20,0,3,0,35,5,34,13,13,B,19,38,1,ordenar,65158,NA,NA,1,Canonical,prestar,73724,Mood,Subjunctive,D,[–F/–F],11,26,-0.2656418178703856,-0.9295208872364908,-0.7593805517898339,NA,-0.4954635084789066,-0.8213974440062158
HSP11,26,Female,Heritage,Simultaneous,20,0,3,0,35,5,34,13,13,B,5,41,0,esperar,1409514,NA,NA,1,Canonical,enviar,766523,Mood,Subjunctive,A,[+F/+F],11,26,-0.2656418178703856,1.8138608218429253,1.2246470510386476,NA,-0.4954635084789066,-0.8213974440062158
HSP11,26,Female,Heritage,Simultaneous,20,0,3,0,35,5,34,13,13,B,15,43,0,desear,148807,NA,NA,1,Canonical,robar,28182,Mood,Subjunctive,C,[–F/+F],11,26,-0.2656418178703856,-0.7588212090390609,-0.8898030626306618,NA,-0.4954635084789066,-0.8213974440062158
HSP11,26,Female,Heritage,Simultaneous,20,0,3,0,35,5,34,13,13,B,10,46,0,pedir,432187,NA,NA,0,Canonical,tratar,590952,Mood,Subjunctive,B,[+F/–F],11,26,-0.2656418178703856,-0.18053725098113216,0.7218493994020267,NA,-0.4954635084789066,-0.8213974440062158
HSP11,26,Female,Heritage,Simultaneous,20,0,3,0,35,5,34,13,13,B,20,48,1,valorar,113028,NA,NA,1,Canonical,viajar,78141,Mood,Subjunctive,D,[–F/–F],11,26,-0.2656418178703856,-0.831834201259241,-0.7467312120510448,NA,-0.4954635084789066,-0.8213974440062158
HSP12,30,Male,Heritage,Sequential,18,0,7,0,35,4,42,19,19,B,1,1,1,permitir,935997,NA,NA,0,Canonical,tomar,506707,Mood,Subjunctive,A,[+F/+F],12,38,1.3464245282916123,0.8475707344418515,0.4805898054934249,NA,-0.4954635084789066,0.639781928748559
HSP12,30,Male,Heritage,Sequential,18,0,7,0,35,4,42,19,19,B,11,3,1,sugerir,88224,NA,NA,0,Canonical,prestar,73724,Mood,Subjunctive,C,[–F/+F],12,38,1.3464245282916123,-0.8824508830845953,-0.7593805517898339,NA,-0.4954635084789066,0.639781928748559
HSP12,30,Male,Heritage,Sequential,18,0,7,0,35,4,42,19,19,B,6,6,1,querer,1263949,NA,NA,0,Canonical,dejar,696519,Mood,Subjunctive,B,[+F/–F],12,38,1.3464245282916123,1.5168112616950589,1.0241706238088089,NA,-0.4954635084789066,0.639781928748559
HSP12,30,Male,Heritage,Sequential,18,0,7,0,35,4,42,19,19,B,16,8,1,desear,148807,NA,NA,1,Canonical,bailar,29935,Mood,Subjunctive,D,[–F/–F],12,38,1.3464245282916123,-0.7588212090390609,-0.8847828469725008,NA,-0.4954635084789066,0.639781928748559
HSP12,30,Male,Heritage,Sequential,18,0,7,0,35,4,42,19,19,B,2,11,1,pedir,432187,NA,NA,0,Canonical,dejar,696519,Mood,Subjunctive,A,[+F/+F],12,38,1.3464245282916123,-0.18053725098113216,1.0241706238088089,NA,-0.4954635084789066,0.639781928748559
HSP12,30,Male,Heritage,Sequential,18,0,7,0,35,4,42,19,19,B,12,13,1,ordenar,65158,NA,NA,1,Canonical,atar,15876,Mood,Subjunctive,C,[–F/+F],12,38,1.3464245282916123,-0.9295208872364908,-0.9250448047238335,NA,-0.4954635084789066,0.639781928748559
HSP12,30,Male,Heritage,Sequential,18,0,7,0,35,4,42,19,19,B,7,16,1,esperar,1409514,NA,NA,1,Canonical,atar,15876,Mood,Subjunctive,B,[+F/–F],12,38,1.3464245282916123,1.8138608218429253,-0.9250448047238335,NA,-0.4954635084789066,0.639781928748559
HSP12,30,Male,Heritage,Sequential,18,0,7,0,35,4,42,19,19,B,17,18,1,conseguir,129144,NA,NA,0,Canonical,robar,28182,Mood,Subjunctive,D,[–F/–F],12,38,1.3464245282916123,-0.7989468264689892,-0.8898030626306618,NA,-0.4954635084789066,0.639781928748559
HSP12,30,Male,Heritage,Sequential,18,0,7,0,35,4,42,19,19,B,3,21,1,necesitar,593469,NA,NA,1,Canonical,tratar,590952,Mood,Subjunctive,A,[+F/+F],12,38,1.3464245282916123,0.1485854581850012,0.7218493994020267,NA,-0.4954635084789066,0.639781928748559
HSP12,30,Male,Heritage,Sequential,18,0,7,0,35,4,42,19,19,B,13,23,1,valorar,113028,NA,NA,1,Canonical,bailar,29935,Mood,Subjunctive,C,[–F/+F],12,38,1.3464245282916123,-0.831834201259241,-0.8847828469725008,NA,-0.4954635084789066,0.639781928748559
HSP12,30,Male,Heritage,Sequential,18,0,7,0,35,4,42,19,19,B,8,26,1,permitir,935997,NA,NA,0,Canonical,quedar,947469,Mood,Subjunctive,B,[+F/–F],12,38,1.3464245282916123,0.8475707344418515,1.7428375487463559,NA,-0.4954635084789066,0.639781928748559
HSP12,30,Male,Heritage,Sequential,18,0,7,0,35,4,42,19,19,B,18,28,1,sugerir,88224,NA,NA,0,Canonical,atar,15876,Mood,Subjunctive,D,[–F/–F],12,38,1.3464245282916123,-0.8824508830845953,-0.9250448047238335,NA,-0.4954635084789066,0.639781928748559
HSP12,30,Male,Heritage,Sequential,18,0,7,0,35,4,42,19,19,B,4,31,1,querer,1263949,NA,NA,0,Canonical,quedar,947469,Mood,Subjunctive,A,[+F/+F],12,38,1.3464245282916123,1.5168112616950589,1.7428375487463559,NA,-0.4954635084789066,0.639781928748559
HSP12,30,Male,Heritage,Sequential,18,0,7,0,35,4,42,19,19,B,14,33,1,conseguir,129144,NA,NA,0,Canonical,viajar,78141,Mood,Subjunctive,C,[–F/+F],12,38,1.3464245282916123,-0.7989468264689892,-0.7467312120510448,NA,-0.4954635084789066,0.639781928748559
HSP12,30,Male,Heritage,Sequential,18,0,7,0,35,4,42,19,19,B,9,36,1,necesitar,593469,NA,NA,1,Canonical,enviar,766523,Mood,Subjunctive,B,[+F/–F],12,38,1.3464245282916123,0.1485854581850012,1.2246470510386476,NA,-0.4954635084789066,0.639781928748559
HSP12,30,Male,Heritage,Sequential,18,0,7,0,35,4,42,19,19,B,19,38,1,ordenar,65158,NA,NA,1,Canonical,prestar,73724,Mood,Subjunctive,D,[–F/–F],12,38,1.3464245282916123,-0.9295208872364908,-0.7593805517898339,NA,-0.4954635084789066,0.639781928748559
HSP12,30,Male,Heritage,Sequential,18,0,7,0,35,4,42,19,19,B,5,41,1,esperar,1409514,NA,NA,1,Canonical,enviar,766523,Mood,Subjunctive,A,[+F/+F],12,38,1.3464245282916123,1.8138608218429253,1.2246470510386476,NA,-0.4954635084789066,0.639781928748559
HSP12,30,Male,Heritage,Sequential,18,0,7,0,35,4,42,19,19,B,15,43,1,desear,148807,NA,NA,1,Canonical,robar,28182,Mood,Subjunctive,C,[–F/+F],12,38,1.3464245282916123,-0.7588212090390609,-0.8898030626306618,NA,-0.4954635084789066,0.639781928748559
HSP12,30,Male,Heritage,Sequential,18,0,7,0,35,4,42,19,19,B,10,46,1,pedir,432187,NA,NA,0,Canonical,tratar,590952,Mood,Subjunctive,B,[+F/–F],12,38,1.3464245282916123,-0.18053725098113216,0.7218493994020267,NA,-0.4954635084789066,0.639781928748559
HSP12,30,Male,Heritage,Sequential,18,0,7,0,35,4,42,19,19,B,20,48,1,valorar,113028,NA,NA,1,Canonical,viajar,78141,Mood,Subjunctive,D,[–F/–F],12,38,1.3464245282916123,-0.831834201259241,-0.7467312120510448,NA,-0.4954635084789066,0.639781928748559
HSP13,34,Female,Heritage,Simultaneous,27,0,0,1.33,36,4,42,19,19,A,20,3,1,valorar,113028,NA,NA,1,Canonical,viajar,78141,Mood,Subjunctive,D,[–F/–F],13,38,1.3464245282916123,-0.831834201259241,-0.7467312120510448,NA,0.16561317432790273,0.639781928748559
HSP13,34,Female,Heritage,Simultaneous,27,0,0,1.33,36,4,42,19,19,A,10,5,0,pedir,432187,NA,NA,0,Canonical,tratar,590952,Mood,Subjunctive,B,[+F/–F],13,38,1.3464245282916123,-0.18053725098113216,0.7218493994020267,NA,0.16561317432790273,0.639781928748559
HSP13,34,Female,Heritage,Simultaneous,27,0,0,1.33,36,4,42,19,19,A,15,8,0,desear,148807,NA,NA,1,Canonical,robar,28182,Mood,Subjunctive,C,[–F/+F],13,38,1.3464245282916123,-0.7588212090390609,-0.8898030626306618,NA,0.16561317432790273,0.639781928748559
HSP13,34,Female,Heritage,Simultaneous,27,0,0,1.33,36,4,42,19,19,A,5,10,1,esperar,1409514,NA,NA,1,Canonical,enviar,766523,Mood,Subjunctive,A,[+F/+F],13,38,1.3464245282916123,1.8138608218429253,1.2246470510386476,NA,0.16561317432790273,0.639781928748559
HSP13,34,Female,Heritage,Simultaneous,27,0,0,1.33,36,4,42,19,19,A,19,13,0,ordenar,65158,NA,NA,1,Canonical,prestar,73724,Mood,Subjunctive,D,[–F/–F],13,38,1.3464245282916123,-0.9295208872364908,-0.7593805517898339,NA,0.16561317432790273,0.639781928748559
HSP13,34,Female,Heritage,Simultaneous,27,0,0,1.33,36,4,42,19,19,A,9,15,0,necesitar,593469,NA,NA,1,Canonical,enviar,766523,Mood,Subjunctive,B,[+F/–F],13,38,1.3464245282916123,0.1485854581850012,1.2246470510386476,NA,0.16561317432790273,0.639781928748559
HSP13,34,Female,Heritage,Simultaneous,27,0,0,1.33,36,4,42,19,19,A,14,18,0,conseguir,129144,NA,NA,0,Canonical,viajar,78141,Mood,Subjunctive,C,[–F/+F],13,38,1.3464245282916123,-0.7989468264689892,-0.7467312120510448,NA,0.16561317432790273,0.639781928748559
